R_match	MeanEnergyPerParticle	MeanSquaredEnergy	AcceptanceRatio
0.25518117751339386	343.94590031014934	3.2949048759782906e6	0.337347
0.2590729422358287	350.41583384734906	3.396747101600569e6	0.337515
0.2629647069582635	354.22018796082483	3.452643541718158e6	0.338675
0.2668564716806983	358.6933458990158	3.5250103001336865e6	0.338087
0.27074823640313317	360.7025071792874	3.557372748549509e6	0.338929
0.27464000112556797	361.81234523977423	3.5798804643609277e6	0.338122
0.2785317658480028	362.17014584493575	3.583573498392227e6	0.338026
0.2824235305704376	362.50545344222144	3.5867491049288926e6	0.338137
0.2863152952928724	361.80078186159983	3.577669725223653e6	0.337575
0.29020706001530727	361.84588094716855	3.5781025048905434e6	0.338099
0.29409882473774207	362.7083210799987	3.590274663726051e6	0.33763
0.2979905894601769	362.4357518093447	3.589791039882834e6	0.337976
0.3018823541826117	362.29901189199376	3.585407506039155e6	0.338445
0.3057741189050465	362.3125037840646	3.5839055991273746e6	0.338996
0.3096658836274814	362.173134143833	3.5828750138910986e6	0.338856
0.3135576483499162	362.7394588364706	3.589684442114751e6	0.337462
0.317449413072351	362.85392827542694	3.593910392283278e6	0.338521
0.3213411777947858	361.77374611439103	3.5775238195630796e6	0.338628
0.3252329425172207	362.1607138898042	3.580555106447663e6	0.338148
0.3291247072396555	362.23812862803067	3.588060694925872e6	0.337711
0.3330164719620903	362.65946052730544	3.5939320044357325e6	0.338981
0.33690823668452513	362.8536525140052	3.593975805085739e6	0.337676
0.34080000140695993	361.93536565936455	3.583206703142077e6	0.33944
0.3446917661293948	361.5076646132139	3.5731120985964155e6	0.338491
0.3485835308518296	362.24515699498136	3.5867014814014332e6	0.337881
0.3524752955742644	362.3922095424259	3.587860865899819e6	0.339057
0.35636706029669923	362.62480513840967	3.592205010585292e6	0.338025
0.36025882501913403	362.0498524753283	3.5821579547154848e6	0.337229
0.3641505897415689	361.88497892451034	3.578912276273751e6	0.339049
0.3680423544640037	362.3014150072634	3.585426974305716e6	0.338947
0.37193411918643854	362.74126215910053	3.593342825669504e6	0.337725
0.37582588390887334	362.5588660665811	3.5905478029695717e6	0.338178
0.37971764863130814	362.7751214786911	3.593996831695935e6	0.337956
0.383609413353743	362.148226288404	3.585163746697177e6	0.338644
0.3875011780761778	362.06459075828764	3.5823264378742143e6	0.338999
0.39139294279861264	362.7357059310271	3.5951699605916673e6	0.338111
0.39528470752104744	455.124014666368	5.178446718341682e6	0.0
